CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est_Itest,SE_Itest,P_Itest,Est_Mtest,SE_Mtest,P_Mtest,Est_IMtest,SE_IMtest,P_IMtest,Est_I,SE_I,P_I,Est_M,SE_M,P_M,Est_IM,SE_IM,P_IM
100015745,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,Hexosylceramides (HCER),-0.589771655,0.052945588,3.83E-28,-0.301491895,0.058169294,2.36E-07,0.28827976,0.068487852,2.66E-05,-0.603203726,0.03359563,3.68E-70,-0.359408672,0.039369941,9.42E-20,0.243795054,0.045509366,8.79E-08
100015786,"sphingomyelin (d18:0/20:0, d16:0/22:0)*",Lipid,Dihydrosphingomyelins,0.56190428,0.053359776,2.18E-25,0.406484367,0.058624346,5.23E-12,-0.155419913,0.069023625,0.024430596,0.506707647,0.034142853,6.49E-49,0.195929064,0.040011219,1.00E-06,-0.310778583,0.046250647,2.00E-11
100015797,heneicosapentaenoate (21:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),-0.822147146,0.049391855,5.28E-59,-0.376192145,0.054264944,5.28E-12,0.445955002,0.063890916,3.79E-12,-0.825991277,0.031510335,4.36E-143,-0.334461135,0.036926232,1.80E-19,0.491530142,0.042684581,2.39E-30
100015833,arachidoylcarnitine (C20)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",-0.549155495,0.050497477,6.25E-27,-0.283864762,0.055479649,3.35E-07,0.265290733,0.065321095,5.03E-05,-0.629756084,0.03343817,8.36E-77,-0.243543165,0.039185418,5.49E-10,0.386212919,0.045296068,1.91E-17
100015836,ximenoylcarnitine (C26:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",-0.575578504,0.053083047,8.72E-27,-0.179601422,0.058320315,0.002096154,0.395977082,0.068665662,9.11E-09,-0.593067342,0.033548422,4.00E-68,-0.227788601,0.03931462,7.24E-09,0.365278741,0.045445418,1.10E-15
100015838,eicosenoylcarnitine (C20:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",-0.52657851,0.050799187,1.15E-24,-0.321189856,0.055811125,9.76E-09,0.205388654,0.065711372,0.001795245,-0.614310072,0.031943907,6.68E-80,-0.310594414,0.037434326,1.32E-16,0.303715658,0.043271908,2.50E-12
100015845,docosahexaenoylcarnitine (C22:6)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",-0.794563362,0.049698664,8.70E-55,-0.166605429,0.054602023,0.002303365,0.627957933,0.064287788,3.92E-22,-0.872140292,0.032139046,1.32E-152,-0.204551652,0.037663004,5.83E-08,0.667588639,0.043536247,4.91E-52
100015846,nervonoylcarnitine (C24:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",-0.479916861,0.053774913,8.60E-19,-0.282343774,0.059080442,1.87E-06,0.197573087,0.069560627,0.004544558,-0.621217358,0.033063445,1.85E-76,-0.199056989,0.038746286,2.88E-07,0.422160369,0.044788457,6.07E-21
100015962,"N,N,N-trimethyl-5-aminovalerate",Amino Acid,Lysine Metabolism,1.065074714,0.050688649,3.24E-90,0.51694294,0.055689682,3.55E-20,-0.548131774,0.065568385,1.04E-16,1.102796165,0.031558039,1.48E-242,0.495816684,0.036982135,2.25E-40,-0.606979481,0.042749202,5.44E-45
100015968,carotene diol (3),Cofactors and Vitamins,Vitamin A Metabolism,0.300772191,0.049982608,2.04E-09,0.514421332,0.054913982,1.63E-20,0.213649141,0.064655085,0.000965442,0.234102059,0.031942057,2.64E-13,0.42886616,0.037432157,4.61E-30,0.1947641,0.043269401,6.89E-06
100016007,"phosphatidylcholine (O-18:1/20:4, O-16:0/22:5n3)*",Lipid,Plasmalogen,-0.661617807,0.051170059,4.92E-37,-0.961510957,0.056218588,5.12E-62,-0.29989315,0.066191113,6.16E-06,-0.724050658,0.031399839,1.50E-112,-0.991504157,0.036796744,1.29E-150,-0.267453499,0.042534901,3.46E-10
100019975,hexadecenedioate (C16:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",-0.412017674,0.053063238,1.20E-14,0.143772041,0.058298552,0.013726488,0.555789716,0.068640038,8.80E-16,-0.369824704,0.034507853,1.51E-26,0.206713552,0.040438954,3.30E-07,0.576538256,0.046745084,1.64E-34
100020208,perfluorooctanoate (PFOA),Xenobiotics,Chemical,-0.788391024,0.047045647,9.71E-60,-0.331170237,0.051687254,1.77E-10,0.457220787,0.060855973,8.06E-14,-0.769888699,0.031520593,2.19E-125,-0.359002459,0.036938254,3.72E-22,0.41088624,0.042698477,9.36E-22
100020225,1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPC (P-18:1/22:6)*,Lipid,Plasmalogen,-1.184939197,0.045908689,4.71E-130,-0.592258744,0.050438122,5.22E-31,0.592680452,0.05938526,5.12E-23,-1.276849006,0.029775753,0,-0.520314758,0.034893516,2.35E-49,0.756534248,0.040334879,3.28E-76
100020259,glutamine conjugate of C7H12O2*,Partially Characterized Molecules,Partially Characterized Molecules,0.728156019,0.051445804,9.17E-44,0.379688967,0.056521539,2.29E-11,-0.348467052,0.066547804,1.78E-07,0.590059137,0.033677629,5.55E-67,0.309360442,0.039466034,5.40E-15,-0.280698695,0.045620445,8.13E-10
100020261,glutamine conjugate of C6H10O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules,0.703249961,0.052644349,2.48E-39,0.338928486,0.057838334,5.26E-09,-0.364321474,0.068098184,9.62E-08,0.509465665,0.033923645,5.03E-50,0.235953793,0.039754335,3.11E-09,-0.273511872,0.045953704,2.81E-09
